id,rank,title,worldwideLifetimeGross,domesticLifetimeGross,domestic,foreignLifetimeGross,foreign,year,cast,cast_link,nepos,pct_nepo
tt2820852,10,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,Paul Walker,/wiki/Paul_Walker,False,0.3076923076923077
tt2820852,10,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,Dwayne Johnson,/wiki/Dwayne_Johnson,['https://en.wikipedia.org/wiki/Rocky_Johnson'],0.3076923076923077
tt2820852,10,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,Michelle Rodriguez,/wiki/Michelle_Rodriguez,False,0.3076923076923077
tt2820852,10,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,Tyrese Gibson,/wiki/Tyrese_Gibson,False,0.3076923076923077
tt2820852,10,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,Chris “Ludacris” Bridges,/wiki/Ludacris,False,0.3076923076923077
tt2820852,10,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,Jordana Brewster,/wiki/Jordana_Brewster,['https://en.wikipedia.org/wiki/Maria_Jo%C3%A3o_(model)'],0.3076923076923077
tt2820852,10,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,Djimon Hounsou,/wiki/Djimon_Hounsou,False,0.3076923076923077
tt2820852,10,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,Tony Jaa,/wiki/Tony_Jaa,False,0.3076923076923077
tt2820852,10,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,Ronda Rousey,/wiki/Ronda_Rousey,['https://en.wikipedia.org/wiki/AnnMaria_De_Mars'],0.3076923076923077
tt2820852,10,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,Nathalie Emmanuel,/wiki/Nathalie_Emmanuel,False,0.3076923076923077
tt2820852,10,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,Kurt Russell,/wiki/Kurt_Russell,['https://en.wikipedia.org/wiki/Bing_Russell'],0.3076923076923077
tt2820852,10,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,Jason Statham,/wiki/Jason_Statham,False,0.3076923076923077
tt1745960,11,Top Gun: Maverick,"$1,488,732,821","$718,732,821",48.3%,"$770,000,000",51.7%,2022,Tom Cruise,,False,0.125
tt1745960,11,Top Gun: Maverick,"$1,488,732,821","$718,732,821",48.3%,"$770,000,000",51.7%,2022,Miles Teller,/wiki/Miles_Teller,False,0.125
tt1745960,11,Top Gun: Maverick,"$1,488,732,821","$718,732,821",48.3%,"$770,000,000",51.7%,2022,Jennifer Connelly,/wiki/Jennifer_Connelly,False,0.125
tt1745960,11,Top Gun: Maverick,"$1,488,732,821","$718,732,821",48.3%,"$770,000,000",51.7%,2022,Jon Hamm,/wiki/Jon_Hamm,False,0.125
tt1745960,11,Top Gun: Maverick,"$1,488,732,821","$718,732,821",48.3%,"$770,000,000",51.7%,2022,Glen Powell,/wiki/Glen_Powell,False,0.125
tt1745960,11,Top Gun: Maverick,"$1,488,732,821","$718,732,821",48.3%,"$770,000,000",51.7%,2022,Lewis Pullman,/wiki/Lewis_Pullman,['https://en.wikipedia.org/wiki/Bill_Pullman'],0.125
tt1745960,11,Top Gun: Maverick,"$1,488,732,821","$718,732,821",48.3%,"$770,000,000",51.7%,2022,Ed Harris,/wiki/Ed_Harris,False,0.125
tt1745960,11,Top Gun: Maverick,"$1,488,732,821","$718,732,821",48.3%,"$770,000,000",51.7%,2022,Val Kilmer,/wiki/Val_Kilmer,False,0.125
tt4520988,12,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019,Kristen Bell,/wiki/Kristen_Bell,False,
tt4520988,12,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019,Idina Menzel,/wiki/Idina_Menzel,False,
tt4520988,12,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019,Josh Gad,/wiki/Josh_Gad,False,
tt4520988,12,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019,Jonathan Groff,/wiki/Jonathan_Groff,False,
tt2395427,13,Avengers: Age of Ultron,"$1,402,809,540","$459,005,868",32.7%,"$943,803,672",67.3%,2015,Robert Downey Jr.,/wiki/Robert_Downey_Jr.,['https://en.wikipedia.org/wiki/Robert_Downey_Sr.'],0.2222222222222222
tt2395427,13,Avengers: Age of Ultron,"$1,402,809,540","$459,005,868",32.7%,"$943,803,672",67.3%,2015,Chris Hemsworth,/wiki/Chris_Hemsworth,['https://en.wikipedia.org/wiki/Joanne_van_Os'],0.2222222222222222
