,title,cast,nepos,pct_nepo
230,Game of Thrones,Isaac Hempstead Wright,True,16.666666666666664
231,Game of Thrones,Rory McCann,True,16.666666666666664
232,Game of Thrones,Nathalie Emmanuel,True,16.666666666666664
233,Game of Thrones,Jerome Flynn,True,16.666666666666664
234,Star Trek: Strange New Worlds,Melissa Navia,True,11.11111111111111
235,Star Trek: Strange New Worlds,Anson Mount,True,11.11111111111111
236,Star Trek: Strange New Worlds,Ethan Peck,"['https://en.wikipedia.org/wiki/Marisa_Matarazzo', 'https://en.wikipedia.org/wiki/Gregory_Peck', 'https://en.wikipedia.org/wiki/Veronique_Peck', 'https://en.wikipedia.org/wiki/Cecilia_Peck']",11.11111111111111
237,Star Trek: Strange New Worlds,Jess Bush,True,11.11111111111111
238,Star Trek: Strange New Worlds,Christina Chong,True,11.11111111111111
239,Star Trek: Strange New Worlds,Rebecca Romijn,True,11.11111111111111
240,Star Trek: Strange New Worlds,Celia Rose Gooding,['https://en.wikipedia.org/wiki/LaChanze'],11.11111111111111
241,Star Trek: Strange New Worlds,Babs Olusanmokun,True,11.11111111111111
242,Star Trek: Strange New Worlds,André Dae Kim,True,11.11111111111111
243,Star Trek: Strange New Worlds,Bruce Horak,True,11.11111111111111
244,Star Trek: Strange New Worlds,Gia Sandhu,True,11.11111111111111
245,Star Trek: Strange New Worlds,Shannon Widdis,True,11.11111111111111
246,Star Trek: Strange New Worlds,Dan Jeannotte,True,11.11111111111111
247,Star Trek: Strange New Worlds,Alex Kapp,True,11.11111111111111
248,Star Trek: Strange New Worlds,Jennifer Hui,True,11.11111111111111
249,Star Trek: Strange New Worlds,Rong Fu,True,11.11111111111111
250,Star Trek: Strange New Worlds,Sage Arrindell,True,11.11111111111111
251,Star Trek: Strange New Worlds,Danish Maniyar,True,11.11111111111111
252,The Summer I Turned Pretty,Lola Tung,True,
253,The Summer I Turned Pretty,Jackie Chung,True,
254,The Summer I Turned Pretty,Rachel Blanchard,True,
255,The Summer I Turned Pretty,Christopher Briney,True,
256,The Summer I Turned Pretty,Gavin Casalegno,True,
257,The Summer I Turned Pretty,Sean Kaufman,True,
258,The Summer I Turned Pretty,Alfredo Narciso,True,
259,The Summer I Turned Pretty,Minnie Mills,True,
260,The Summer I Turned Pretty,Summer Madison,True,
261,The Summer I Turned Pretty,Lilah Pate,True,
262,The Summer I Turned Pretty,David Iacono,True,
263,The Summer I Turned Pretty,Kelsey Rose Healey,True,
264,The Summer I Turned Pretty,Jocelyn Shelfo,True,
265,The Summer I Turned Pretty,Rain Spencer,True,
266,The Summer I Turned Pretty,Colin Ferguson,True,
267,The Summer I Turned Pretty,Sarah Hudson,True,
268,The Summer I Turned Pretty,Connor Hammond,True,
269,The Summer I Turned Pretty,Shea Pritchard,True,
270,Yellowstone,Kevin Costner,True,11.11111111111111
271,Yellowstone,Luke Grimes,True,11.11111111111111
272,Yellowstone,Kelly Reilly,True,11.11111111111111
273,Yellowstone,Wes Bentley,True,11.11111111111111
274,Yellowstone,Cole Hauser,['https://en.wikipedia.org/wiki/Wings_Hauser'],11.11111111111111
275,Yellowstone,Kelsey Asbille,True,11.11111111111111
276,Yellowstone,Brecken Merrill,True,11.11111111111111
277,Yellowstone,Jefferson White,True,11.11111111111111
278,Yellowstone,Gil Birmingham,True,11.11111111111111
279,Yellowstone,Forrie J. Smith,True,11.11111111111111
280,Yellowstone,Denim Richards,True,11.11111111111111
281,Yellowstone,Ian Bohen,True,11.11111111111111
282,Yellowstone,Mo Brings Plenty,True,11.11111111111111
283,Yellowstone,Jake Ream,True,11.11111111111111
284,Yellowstone,Ryan Bingham,True,11.11111111111111
285,Yellowstone,Danny Huston,['https://en.wikipedia.org/wiki/John_Huston'],11.11111111111111
286,Yellowstone,Jen Landon,True,11.11111111111111
