,id,rank,title,worldwideLifetimeGross,domesticLifetimeGross,domestic,foreignLifetimeGross,foreign,year,cast,nepos,pct_nepo
70,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Simon Pegg,False,33.33333333333333
71,tt2488496,4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,Kiran Shah,False,33.33333333333333
72,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Robert Downey Jr.,['https://en.wikipedia.org/wiki/Robert_Downey_Sr.'],44.44444444444444
73,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Chris Hemsworth,"['https://en.wikipedia.org/wiki/Luke_Hemsworth', 'https://en.wikipedia.org/wiki/Liam_Hemsworth', 'https://en.wikipedia.org/wiki/Joanne_van_Os']",44.44444444444444
74,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Mark Ruffalo,False,44.44444444444444
75,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Chris Evans,False,44.44444444444444
76,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Scarlett Johansson,False,44.44444444444444
77,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Don Cheadle,False,44.44444444444444
78,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Benedict Cumberbatch,"['https://en.wikipedia.org/wiki/Timothy_Carlton', 'https://en.wikipedia.org/wiki/Wanda_Ventham']",44.44444444444444
79,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Tom Holland,['https://en.wikipedia.org/wiki/Dominic_Holland'],44.44444444444444
80,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Chadwick Boseman,False,44.44444444444444
81,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Zoe Saldana,False,44.44444444444444
82,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Karen Gillan,['https://en.wikipedia.org/wiki/Caitlin_Blackwood'],44.44444444444444
83,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Tom Hiddleston,False,44.44444444444444
84,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Paul Bettany,['https://en.wikipedia.org/wiki/Thane_Bettany'],44.44444444444444
85,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Elizabeth Olsen,"['https://en.wikipedia.org/wiki/Mary-Kate_Olsen', 'https://en.wikipedia.org/wiki/Ashley_Olsen']",44.44444444444444
86,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Anthony Mackie,['https://en.wikipedia.org/wiki/Calvin_Mackie'],44.44444444444444
87,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Sebastian Stan,False,44.44444444444444
88,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Idris Elba,False,44.44444444444444
89,tt4154756,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Danai Gurira,False,44.44444444444444
90,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Tom Holland,['https://en.wikipedia.org/wiki/Dominic_Holland'],22.22222222222222
91,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Zendaya,False,22.22222222222222
92,tt10872600,6,Spider-Man: No Way Home,"$1,901,232,550","$804,793,477",42.3%,"$1,096,439,073",57.7%,2021,Benedict Cumberbatch,"['https://en.wikipedia.org/wiki/Timothy_Carlton', 'https://en.wikipedia.org/wiki/Wanda_Ventham']",22.22222222222222
